username,sentiment_score,dominant_sentiment
chercosenza,81.82,Positive 😄
b1039radio,100.0,Positive 😄
agirlhastwonames,78.14,Positive 😄
apedarosicler,78.68,Positive 😄
blitzen_the_reindog,79.27,Positive 😄
aniellarachel,80.77,Positive 😄
ashtongibbs,77.76,Positive 😄
1000manerasdevestir,75.16,Positive 😄
bl00disthenewblack,82.47,Positive 😄
alysscampanella,75.94,Positive 😄
30daysblog,77.1,Positive 😄
annalise_haarstad,81.58,Positive 😄
48hoursineurope,74.89,Positive 😄
alohalovelyhawaii,77.67,Positive 😄
angie_nagle,81.12,Positive 😄
alcineia.barao,78.06,Positive 😄
andreinaduven,83.2,Positive 😄
aliaabhatt.ne,86.25,Positive 😄
ali_arrington,75.81,Positive 😄
bloom_mads,81.94,Positive 😄
ailineliefeld,76.42,Positive 😄
alexiscastro_xo,75.47,Positive 😄
aaliyahrosemusic,77.93,Positive 😄
beleafmel,78.09,Positive 😄
brandonshowersofficial,96.81,Positive 😄
anacelinexo,76.82,Positive 😄
bodyfitbalance,76.17,Positive 😄
brittneyhellemn,100.0,Positive 😄
anniecatalan,79.04,Positive 😄
bostontweet,81.82,Positive 😄
bcbonline_,100.0,Positive 😄
carissadavidson,83.02,Positive 😄
beebertrand13,97.37,Positive 😄
_makicoo_,100.0,Positive 😄
anafilipafariacardoso,90.28,Positive 😄
a_la_mol,77.21,Positive 😄
aureliestory,76.47,Positive 😄
bigeyesbiggaglasses,100.0,Positive 😄
antoinettefrances,79.92,Positive 😄
blogcaroladuarte,79.76,Positive 😄
cc_chapman,85.84,Positive 😄
alwayshungrychi,74.86,Positive 😄
brilliantindian,95.83,Positive 😄
adrienradford,83.22,Positive 😄
alanaahewitt,77.22,Positive 😄
billy_ndanusa,78.57,Positive 😄
999thefan,100.0,Positive 😄
ayaka__0427,100.0,Positive 😄
bytesizednutrition,77.18,Positive 😄
babii.sammii,77.04,Positive 😄
aducksoven,85.18,Positive 😄
axelleblanpain,80.75,Positive 😄
celestelevis,85.09,Positive 😄
bpaceee,73.53,Positive 😄
am.konstantina,81.48,Positive 😄
ashleysfreshfix,76.62,Positive 😄
aliciamlund,78.25,Positive 😄
aliciastanfield,87.65,Positive 😄
blog_alamode,78.42,Positive 😄
